DEBUG    | 2024-11-17 22:34:32,211 |    main | Metahit v1.0.0, released at 10/2024
INFO     | 2024-11-17 22:38:29,327 |    main | Begin normalizing raw contacts by NormCC for metacc raw matrix
DEBUG    | 2024-11-17 22:51:12,159 |    main | Metahit v1.0.0, released at 10/2024
DEBUG    | 2024-11-17 22:51:12,159 |    main | 3.9.19 | packaged by conda-forge | (main, Mar 20 2024, 12:50:21)  [GCC 12.3.0]
DEBUG    | 2024-11-17 22:51:12,159 |    main | Command line: bin/metahit-scripts/raw_contact1.py --BAM output/alignment/sorted_map.bam --FASTA output/assembly/final_assembly.fasta --OUTDIR ./output1 --enzyme HindIII --metacc-min-signal 2 --metacc-min-len 1000 --metacc-min-mapq 30 --metacc-min-match 30
INFO     | 2024-11-17 22:51:12,159 |    main | Begin constructing raw contact matrix for metacc and bin3c...
INFO     | 2024-11-17 22:51:12,159 |    main | Reading fasta file...
DEBUG    | 2024-11-17 22:51:12,177 |    main | There are 92 contigs in reference fasta
INFO     | 2024-11-17 22:51:12,178 |    main | Filtering metacc contigs by minimal length(1000)...
INFO     | 2024-11-17 22:51:12,178 |    main | Filtering bin3c contigs by minimal length(1000)...
DEBUG    | 2024-11-17 22:51:12,178 |    main | 0 contigs miss and 0 contigs are too short for metacc
DEBUG    | 2024-11-17 22:51:12,179 |    main | 0 contigs miss and 0 contigs are too short for bin3c
DEBUG    | 2024-11-17 22:51:12,179 |    main | Accepted 92 contigs covering 311108 bp for metacc
DEBUG    | 2024-11-17 22:51:12,179 |    main | Accepted 92 contigs covering 311108 bp for bin3c
INFO     | 2024-11-17 22:51:12,179 |    main | Counting reads in bam file...
DEBUG    | 2024-11-17 22:51:12,180 |    main | BAM file contains 4249 alignments
INFO     | 2024-11-17 22:51:12,181 |    main | Handling the alignments...
DEBUG    | 2024-11-17 22:51:12,191 |    main | Pair accounting for metacc: OrderedDict([('accepted map_different_contig pairs for metacc', 27), ('accepted map_same_contig pairs for metacc', 662), ('ref_excluded pairs for metacc', 0), ('poor_match pairs for metacc', 821), ('single read for metacc', 1229)])
DEBUG    | 2024-11-17 22:51:12,191 |    main | Pair accounting for bin3c: OrderedDict([('accepted map_different_contig pairs for bin3c', 24), ('accepted map_same_contig pairs for bin3c', 662), ('ref_excluded pairs for bin3c', 0), ('poor_match pairs for bin3c', 824), ('single read for bin3c', 1229)])
DEBUG    | 2024-11-17 22:51:12,191 |    main | Setting primary acceptance mask with filtering criterion min_len: 1000 min_sig: 5 for bin3c
DEBUG    | 2024-11-17 22:51:12,191 |    main | Minimum length threshold removing for bin3c: 0
DEBUG    | 2024-11-17 22:51:12,192 |    main | Minimum signal threshold removing for bin3c: 92
DEBUG    | 2024-11-17 22:51:12,192 |    main | Accepted sequences for bin3c: 0
INFO     | 2024-11-17 22:51:12,192 |    main | Filtering contigs according to minimal signal of metacc(2)...
DEBUG    | 2024-11-17 22:51:12,192 |    main | 0 contigs remain for metacc
INFO     | 2024-11-17 22:51:12,193 |    main | Raw contact matrix construction finished for metacc and bin3c
INFO     | 2024-11-17 22:51:12,194 |    main | Begin normalizing raw contacts by NormCC for metacc raw matrix
DEBUG    | 2024-11-17 22:51:18,502 |    main | Metahit v1.0.0, released at 10/2024
DEBUG    | 2024-11-17 22:51:18,502 |    main | 3.9.19 | packaged by conda-forge | (main, Mar 20 2024, 12:50:21)  [GCC 12.3.0]
DEBUG    | 2024-11-17 22:51:18,502 |    main | Command line: bin/metahit-scripts/raw_contact1.py --BAM output/alignment/sorted_map.bam --FASTA output/assembly/final_assembly.fasta --OUTDIR ./output1 --enzyme HindIII --metacc-min-signal 2 --metacc-min-len 1000 --metacc-min-mapq 30 --metacc-min-match 30
INFO     | 2024-11-17 22:51:18,502 |    main | Begin constructing raw contact matrix for metacc and bin3c...
INFO     | 2024-11-17 22:51:18,502 |    main | Reading fasta file...
DEBUG    | 2024-11-17 22:51:18,520 |    main | There are 92 contigs in reference fasta
INFO     | 2024-11-17 22:51:18,521 |    main | Filtering metacc contigs by minimal length(1000)...
INFO     | 2024-11-17 22:51:18,521 |    main | Filtering bin3c contigs by minimal length(1000)...
DEBUG    | 2024-11-17 22:51:18,521 |    main | 0 contigs miss and 0 contigs are too short for metacc
DEBUG    | 2024-11-17 22:51:18,521 |    main | 0 contigs miss and 0 contigs are too short for bin3c
DEBUG    | 2024-11-17 22:51:18,521 |    main | Accepted 92 contigs covering 311108 bp for metacc
DEBUG    | 2024-11-17 22:51:18,521 |    main | Accepted 92 contigs covering 311108 bp for bin3c
INFO     | 2024-11-17 22:51:18,521 |    main | Counting reads in bam file...
DEBUG    | 2024-11-17 22:51:18,523 |    main | BAM file contains 4249 alignments
INFO     | 2024-11-17 22:51:18,524 |    main | Handling the alignments...
DEBUG    | 2024-11-17 22:51:18,536 |    main | Pair accounting for metacc: OrderedDict([('accepted map_different_contig pairs for metacc', 27), ('accepted map_same_contig pairs for metacc', 662), ('ref_excluded pairs for metacc', 0), ('poor_match pairs for metacc', 821), ('single read for metacc', 1229)])
DEBUG    | 2024-11-17 22:51:18,536 |    main | Pair accounting for bin3c: OrderedDict([('accepted map_different_contig pairs for bin3c', 24), ('accepted map_same_contig pairs for bin3c', 662), ('ref_excluded pairs for bin3c', 0), ('poor_match pairs for bin3c', 824), ('single read for bin3c', 1229)])
DEBUG    | 2024-11-17 22:51:18,536 |    main | Setting primary acceptance mask with filtering criterion min_len: 1000 min_sig: 5 for bin3c
DEBUG    | 2024-11-17 22:51:18,536 |    main | Minimum length threshold removing for bin3c: 0
DEBUG    | 2024-11-17 22:51:18,537 |    main | Minimum signal threshold removing for bin3c: 92
DEBUG    | 2024-11-17 22:51:18,537 |    main | Accepted sequences for bin3c: 0
INFO     | 2024-11-17 22:51:18,537 |    main | Filtering contigs according to minimal signal of metacc(2)...
DEBUG    | 2024-11-17 22:51:18,538 |    main | 0 contigs remain for metacc
INFO     | 2024-11-17 22:51:18,539 |    main | Raw contact matrix construction finished for metacc and bin3c
INFO     | 2024-11-17 22:51:18,540 |    main | Begin normalizing raw contacts by NormCC for metacc raw matrix
DEBUG    | 2024-11-17 22:54:52,495 |    main | Metahit v1.0.0, released at 10/2024
DEBUG    | 2024-11-17 22:54:52,495 |    main | 3.9.19 | packaged by conda-forge | (main, Mar 20 2024, 12:50:21)  [GCC 12.3.0]
DEBUG    | 2024-11-17 22:54:52,495 |    main | Command line: bin/metahit-scripts/raw_contact1.py --BAM output/alignment/sorted_map.bam --FASTA output/assembly/final_assembly.fasta --OUTDIR ./output1 --enzyme HindIII --metacc-min-signal 1 --metacc-min-len 1000 --metacc-min-mapq 30 --metacc-min-match 30
INFO     | 2024-11-17 22:54:52,495 |    main | Begin constructing raw contact matrix for metacc and bin3c...
INFO     | 2024-11-17 22:54:52,495 |    main | Reading fasta file...
DEBUG    | 2024-11-17 22:54:52,514 |    main | There are 92 contigs in reference fasta
INFO     | 2024-11-17 22:54:52,515 |    main | Filtering metacc contigs by minimal length(1000)...
INFO     | 2024-11-17 22:54:52,515 |    main | Filtering bin3c contigs by minimal length(1000)...
DEBUG    | 2024-11-17 22:54:52,515 |    main | 0 contigs miss and 0 contigs are too short for metacc
DEBUG    | 2024-11-17 22:54:52,515 |    main | 0 contigs miss and 0 contigs are too short for bin3c
DEBUG    | 2024-11-17 22:54:52,515 |    main | Accepted 92 contigs covering 311108 bp for metacc
DEBUG    | 2024-11-17 22:54:52,515 |    main | Accepted 92 contigs covering 311108 bp for bin3c
INFO     | 2024-11-17 22:54:52,515 |    main | Counting reads in bam file...
DEBUG    | 2024-11-17 22:54:52,517 |    main | BAM file contains 4249 alignments
INFO     | 2024-11-17 22:54:52,518 |    main | Handling the alignments...
DEBUG    | 2024-11-17 22:54:52,531 |    main | Pair accounting for metacc: OrderedDict([('accepted map_different_contig pairs for metacc', 27), ('accepted map_same_contig pairs for metacc', 662), ('ref_excluded pairs for metacc', 0), ('poor_match pairs for metacc', 821), ('single read for metacc', 1229)])
DEBUG    | 2024-11-17 22:54:52,531 |    main | Pair accounting for bin3c: OrderedDict([('accepted map_different_contig pairs for bin3c', 24), ('accepted map_same_contig pairs for bin3c', 662), ('ref_excluded pairs for bin3c', 0), ('poor_match pairs for bin3c', 824), ('single read for bin3c', 1229)])
DEBUG    | 2024-11-17 22:54:52,531 |    main | Setting primary acceptance mask with filtering criterion min_len: 1000 min_sig: 5 for bin3c
DEBUG    | 2024-11-17 22:54:52,531 |    main | Minimum length threshold removing for bin3c: 0
DEBUG    | 2024-11-17 22:54:52,532 |    main | Minimum signal threshold removing for bin3c: 92
DEBUG    | 2024-11-17 22:54:52,532 |    main | Accepted sequences for bin3c: 0
INFO     | 2024-11-17 22:54:52,532 |    main | Filtering contigs according to minimal signal of metacc(1)...
DEBUG    | 2024-11-17 22:54:52,533 |    main | 22 contigs remain for metacc
DEBUG    | 2024-11-17 22:54:52,533 |    root | Writing contig: NODE_4_length_9143_cov_16.698765, Sites: 2, Length: 9143, Signal: 1
DEBUG    | 2024-11-17 22:54:52,534 |    root | Writing contig: NODE_6_length_8793_cov_33.746673, Sites: 4, Length: 8793, Signal: 1
DEBUG    | 2024-11-17 22:54:52,534 |    root | Writing contig: NODE_7_length_8792_cov_25.002065, Sites: 1, Length: 8792, Signal: 1
DEBUG    | 2024-11-17 22:54:52,534 |    root | Writing contig: NODE_9_length_8593_cov_33.900540, Sites: 3, Length: 8593, Signal: 0
WARNING  | 2024-11-17 22:54:52,534 |    root | Contig NODE_9_length_8593_cov_33.900540 has zero signal.
DEBUG    | 2024-11-17 22:54:52,534 |    root | Writing contig: NODE_11_length_7624_cov_21.203922, Sites: 1, Length: 7624, Signal: 0
WARNING  | 2024-11-17 22:54:52,534 |    root | Contig NODE_11_length_7624_cov_21.203922 has zero signal.
DEBUG    | 2024-11-17 22:54:52,534 |    root | Writing contig: NODE_12_length_7520_cov_23.140669, Sites: 4, Length: 7520, Signal: 0
WARNING  | 2024-11-17 22:54:52,534 |    root | Contig NODE_12_length_7520_cov_23.140669 has zero signal.
DEBUG    | 2024-11-17 22:54:52,534 |    root | Writing contig: NODE_14_length_6992_cov_4.692842, Sites: 1, Length: 6992, Signal: 1
DEBUG    | 2024-11-17 22:54:52,534 |    root | Writing contig: NODE_15_length_6400_cov_34.596394, Sites: 2, Length: 6400, Signal: 1
DEBUG    | 2024-11-17 22:54:52,534 |    root | Writing contig: NODE_16_length_6210_cov_27.502690, Sites: 3, Length: 6210, Signal: 0
WARNING  | 2024-11-17 22:54:52,534 |    root | Contig NODE_16_length_6210_cov_27.502690 has zero signal.
DEBUG    | 2024-11-17 22:54:52,534 |    root | Writing contig: NODE_18_length_5710_cov_9.829398, Sites: 1, Length: 5710, Signal: 1
DEBUG    | 2024-11-17 22:54:52,534 |    root | Writing contig: NODE_23_length_5221_cov_26.041991, Sites: 2, Length: 5221, Signal: 1
DEBUG    | 2024-11-17 22:54:52,534 |    root | Writing contig: NODE_27_length_4801_cov_5.232642, Sites: 1, Length: 4801, Signal: 1
DEBUG    | 2024-11-17 22:54:52,534 |    root | Writing contig: NODE_30_length_4066_cov_222.507145, Sites: 2, Length: 4066, Signal: 1
DEBUG    | 2024-11-17 22:54:52,534 |    root | Writing contig: NODE_32_length_3644_cov_56.721334, Sites: 2, Length: 3644, Signal: 2
DEBUG    | 2024-11-17 22:54:52,534 |    root | Writing contig: NODE_35_length_2924_cov_19.173867, Sites: 1, Length: 2924, Signal: 1
DEBUG    | 2024-11-17 22:54:52,534 |    root | Writing contig: NODE_38_length_2602_cov_2.722376, Sites: 1, Length: 2602, Signal: 1
DEBUG    | 2024-11-17 22:54:52,534 |    root | Writing contig: NODE_44_length_1994_cov_14.970266, Sites: 4, Length: 1994, Signal: 0
WARNING  | 2024-11-17 22:54:52,534 |    root | Contig NODE_44_length_1994_cov_14.970266 has zero signal.
DEBUG    | 2024-11-17 22:54:52,534 |    root | Writing contig: NODE_46_length_1912_cov_19.261580, Sites: 1, Length: 1912, Signal: 1
DEBUG    | 2024-11-17 22:54:52,534 |    root | Writing contig: NODE_47_length_1865_cov_30.649329, Sites: 1, Length: 1865, Signal: 1
DEBUG    | 2024-11-17 22:54:52,534 |    root | Writing contig: NODE_49_length_1791_cov_57.424737, Sites: 2, Length: 1791, Signal: 1
DEBUG    | 2024-11-17 22:54:52,534 |    root | Writing contig: NODE_53_length_1680_cov_1.031192, Sites: 1, Length: 1680, Signal: 0
WARNING  | 2024-11-17 22:54:52,534 |    root | Contig NODE_53_length_1680_cov_1.031192 has zero signal.
DEBUG    | 2024-11-17 22:54:52,534 |    root | Writing contig: NODE_84_length_1142_cov_2.033803, Sites: 1, Length: 1142, Signal: 0
WARNING  | 2024-11-17 22:54:52,534 |    root | Contig NODE_84_length_1142_cov_2.033803 has zero signal.
INFO     | 2024-11-17 22:54:52,534 |    main | Raw contact matrix construction finished for metacc and bin3c
INFO     | 2024-11-17 22:54:52,535 |    main | Begin normalizing raw contacts by NormCC for metacc raw matrix
DEBUG    | 2024-11-17 22:55:21,465 |    main | Metahit v1.0.0, released at 10/2024
DEBUG    | 2024-11-17 22:55:21,465 |    main | 3.9.19 | packaged by conda-forge | (main, Mar 20 2024, 12:50:21)  [GCC 12.3.0]
DEBUG    | 2024-11-17 22:55:21,465 |    main | Command line: bin/metahit-scripts/raw_contact1.py --BAM output/alignment/sorted_map.bam --FASTA output/assembly/final_assembly.fasta --OUTDIR ./output1 --enzyme HindIII --metacc-min-signal 1 --metacc-min-len 1000 --metacc-min-mapq 30 --metacc-min-match 30
INFO     | 2024-11-17 22:55:21,465 |    main | Begin constructing raw contact matrix for metacc and bin3c...
INFO     | 2024-11-17 22:55:21,465 |    main | Reading fasta file...
DEBUG    | 2024-11-17 22:55:21,484 |    main | There are 92 contigs in reference fasta
INFO     | 2024-11-17 22:55:21,484 |    main | Filtering metacc contigs by minimal length(1000)...
INFO     | 2024-11-17 22:55:21,484 |    main | Filtering bin3c contigs by minimal length(1000)...
DEBUG    | 2024-11-17 22:55:21,484 |    main | 0 contigs miss and 0 contigs are too short for metacc
DEBUG    | 2024-11-17 22:55:21,484 |    main | 0 contigs miss and 0 contigs are too short for bin3c
DEBUG    | 2024-11-17 22:55:21,484 |    main | Accepted 92 contigs covering 311108 bp for metacc
DEBUG    | 2024-11-17 22:55:21,484 |    main | Accepted 92 contigs covering 311108 bp for bin3c
INFO     | 2024-11-17 22:55:21,484 |    main | Counting reads in bam file...
DEBUG    | 2024-11-17 22:55:21,487 |    main | BAM file contains 4249 alignments
INFO     | 2024-11-17 22:55:21,487 |    main | Handling the alignments...
DEBUG    | 2024-11-17 22:55:21,499 |    main | Pair accounting for metacc: OrderedDict([('accepted map_different_contig pairs for metacc', 27), ('accepted map_same_contig pairs for metacc', 662), ('ref_excluded pairs for metacc', 0), ('poor_match pairs for metacc', 821), ('single read for metacc', 1229)])
DEBUG    | 2024-11-17 22:55:21,499 |    main | Pair accounting for bin3c: OrderedDict([('accepted map_different_contig pairs for bin3c', 24), ('accepted map_same_contig pairs for bin3c', 662), ('ref_excluded pairs for bin3c', 0), ('poor_match pairs for bin3c', 824), ('single read for bin3c', 1229)])
DEBUG    | 2024-11-17 22:55:21,499 |    main | Setting primary acceptance mask with filtering criterion min_len: 1000 min_sig: 5 for bin3c
DEBUG    | 2024-11-17 22:55:21,499 |    main | Minimum length threshold removing for bin3c: 0
DEBUG    | 2024-11-17 22:55:21,500 |    main | Minimum signal threshold removing for bin3c: 92
DEBUG    | 2024-11-17 22:55:21,500 |    main | Accepted sequences for bin3c: 0
INFO     | 2024-11-17 22:55:21,500 |    main | Filtering contigs according to minimal signal of metacc(1)...
DEBUG    | 2024-11-17 22:55:21,501 |    main | 22 contigs remain for metacc
DEBUG    | 2024-11-17 22:55:21,502 |    root | Writing contig: NODE_4_length_9143_cov_16.698765, Sites: 2, Length: 9143, Signal: 1
DEBUG    | 2024-11-17 22:55:21,502 |    root | Writing contig: NODE_6_length_8793_cov_33.746673, Sites: 4, Length: 8793, Signal: 1
DEBUG    | 2024-11-17 22:55:21,502 |    root | Writing contig: NODE_7_length_8792_cov_25.002065, Sites: 1, Length: 8792, Signal: 1
DEBUG    | 2024-11-17 22:55:21,502 |    root | Writing contig: NODE_9_length_8593_cov_33.900540, Sites: 3, Length: 8593, Signal: 0
WARNING  | 2024-11-17 22:55:21,502 |    root | Contig NODE_9_length_8593_cov_33.900540 has zero signal.
DEBUG    | 2024-11-17 22:55:21,502 |    root | Writing contig: NODE_11_length_7624_cov_21.203922, Sites: 1, Length: 7624, Signal: 0
WARNING  | 2024-11-17 22:55:21,502 |    root | Contig NODE_11_length_7624_cov_21.203922 has zero signal.
DEBUG    | 2024-11-17 22:55:21,502 |    root | Writing contig: NODE_12_length_7520_cov_23.140669, Sites: 4, Length: 7520, Signal: 0
WARNING  | 2024-11-17 22:55:21,502 |    root | Contig NODE_12_length_7520_cov_23.140669 has zero signal.
DEBUG    | 2024-11-17 22:55:21,502 |    root | Writing contig: NODE_14_length_6992_cov_4.692842, Sites: 1, Length: 6992, Signal: 1
DEBUG    | 2024-11-17 22:55:21,502 |    root | Writing contig: NODE_15_length_6400_cov_34.596394, Sites: 2, Length: 6400, Signal: 1
DEBUG    | 2024-11-17 22:55:21,502 |    root | Writing contig: NODE_16_length_6210_cov_27.502690, Sites: 3, Length: 6210, Signal: 0
WARNING  | 2024-11-17 22:55:21,502 |    root | Contig NODE_16_length_6210_cov_27.502690 has zero signal.
DEBUG    | 2024-11-17 22:55:21,502 |    root | Writing contig: NODE_18_length_5710_cov_9.829398, Sites: 1, Length: 5710, Signal: 1
DEBUG    | 2024-11-17 22:55:21,502 |    root | Writing contig: NODE_23_length_5221_cov_26.041991, Sites: 2, Length: 5221, Signal: 1
DEBUG    | 2024-11-17 22:55:21,502 |    root | Writing contig: NODE_27_length_4801_cov_5.232642, Sites: 1, Length: 4801, Signal: 1
DEBUG    | 2024-11-17 22:55:21,502 |    root | Writing contig: NODE_30_length_4066_cov_222.507145, Sites: 2, Length: 4066, Signal: 1
DEBUG    | 2024-11-17 22:55:21,502 |    root | Writing contig: NODE_32_length_3644_cov_56.721334, Sites: 2, Length: 3644, Signal: 2
DEBUG    | 2024-11-17 22:55:21,502 |    root | Writing contig: NODE_35_length_2924_cov_19.173867, Sites: 1, Length: 2924, Signal: 1
DEBUG    | 2024-11-17 22:55:21,502 |    root | Writing contig: NODE_38_length_2602_cov_2.722376, Sites: 1, Length: 2602, Signal: 1
DEBUG    | 2024-11-17 22:55:21,502 |    root | Writing contig: NODE_44_length_1994_cov_14.970266, Sites: 4, Length: 1994, Signal: 0
WARNING  | 2024-11-17 22:55:21,502 |    root | Contig NODE_44_length_1994_cov_14.970266 has zero signal.
DEBUG    | 2024-11-17 22:55:21,502 |    root | Writing contig: NODE_46_length_1912_cov_19.261580, Sites: 1, Length: 1912, Signal: 1
DEBUG    | 2024-11-17 22:55:21,502 |    root | Writing contig: NODE_47_length_1865_cov_30.649329, Sites: 1, Length: 1865, Signal: 1
